Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Roster Position
63499-130276,WR,Mason,Mason Kinsey,Kinsey,0,1,4500,ARI@TEN,TEN,ARI,,,,WR/FLEX
63499-130279,WR,Matt,Matt Cole,Cole,0,1,4500,DEN@NYG,NYG,DEN,,,,WR/FLEX
63499-70892,RB,A.J.,A.J. Rose Jr.,Rose Jr.,,,4500,MIN@CIN,MIN,CIN,,,,RB/FLEX
63499-11504,WR,Andre,Andre Roberts,Roberts,0.061111112,18,4500,JAC@HOU,HOU,JAC,Q,Knee,,WR/FLEX
63499-44280,WR,JoJo,JoJo Natson,Natson,0.075000003,4,4500,CLE@KC,CLE,KC,,,,WR/FLEX
63499-72955,WR,Antonio,Antonio Nunn,Nunn,,,4500,PHI@ATL,ATL,PHI,,,,WR/FLEX
63499-29949,WR,Marvin,Marvin Hall,Hall,4.663636294,11,4500,MIA@NE,NE,MIA,Q,Undisclosed,,WR/FLEX
63499-89342,WR,Jonathan,Jonathan Adams Jr.,Adams Jr.,,,4500,SF@DET,DET,SF,,,,WR/FLEX
63499-72961,WR,Anthony,Anthony Johnson,Johnson,0,1,4500,PIT@BUF,PIT,BUF,,,,WR/FLEX
63499-130309,WR,J.J.,J.J. Koski,Koski,0,2,4500,CHI@LAR,LAR,CHI,,,,WR/FLEX
63499-130315,WR,Chris,Chris Rowland,Rowland,0,2,4500,PHI@ATL,ATL,PHI,,,,WR/FLEX
63499-130317,WR,Juwan,Juwan Green,Green,0,1,4500,PHI@ATL,ATL,PHI,,,,WR/FLEX
63499-130318,RB,Mikey,Mikey Daniel,Daniel,0,1,4500,NYJ@CAR,CAR,NYJ,,,,RB/FLEX
63499-130320,WR,Aaron,Aaron Parker,Parker,0,1,4500,NYJ@CAR,CAR,NYJ,,,,WR/FLEX
63499-72981,WR,Aleva,Aleva Hifo,Hifo,,,4500,ARI@TEN,ARI,TEN,,,,WR/FLEX
63499-130326,WR,Manasseh,Manasseh Bailey,Bailey,0,1,4500,NYJ@CAR,NYJ,CAR,,,,WR/FLEX
63499-68890,WR,Devin,Devin Gray,Gray,0,1,4500,BAL@LV,BAL,LV,,,,WR/FLEX
63499-130335,WR,Reggie,Reggie Begelton,Begelton,,,4500,GB@NO,GB,NO,,,,WR/FLEX
63499-60704,WR,Derrick,Derrick Dillon,Dillon,0,1,4500,DEN@NYG,NYG,DEN,Q,Undisclosed,,WR/FLEX
63499-29985,WR,Jaydon,Jaydon Mickens,Mickens,0.664285728,14,4500,DAL@TB,TB,DAL,,,,WR/FLEX
63499-130336,RB,Sandro,Sandro Platzgummer,Platzgummer,0,1,4500,DEN@NYG,NYG,DEN,,,,RB/FLEX
63499-130338,WR,Rysen,Rysen John,John,0,1,4500,DEN@NYG,NYG,DEN,IR,Ankle,,WR/FLEX
63499-91428,WR,Tarik,Tarik Black,Black,,,4500,SEA@IND,IND,SEA,,,,WR/FLEX
63499-46374,WR,Tanner,Tanner Gentry,Gentry,,,4500,PIT@BUF,BUF,PIT,,,,WR/FLEX
63499-91431,RB,Ben,Ben Mason,Mason,,,4500,MIA@NE,NE,MIA,,,,RB/FLEX
63499-130343,WR,Jeff,Jeff Cotton Jr.,Cotton Jr.,0,1,4500,JAC@HOU,JAC,HOU,,,,WR/FLEX
63499-60712,TE,Foster,Foster Moreau,Moreau,4.214285714,7,4500,BAL@LV,LV,BAL,,,,TE/FLEX
63499-64808,WR,Juwan,Juwan Johnson,Johnson,1.180000019,5,4500,GB@NO,NO,GB,,,,WR/FLEX
63499-130345,WR,Michael,Michael Dereus,Dereus,0,1,4500,BAL@LV,BAL,LV,,,,WR/FLEX
63499-89384,WR,DeMichael,DeMichael Harris,Harris,2.916666667,6,4500,SEA@IND,IND,SEA,,,,WR/FLEX
63499-130350,WR,Jaylon,Jaylon Moore,Moore,0,1,4500,BAL@LV,BAL,LV,,,,WR/FLEX
63499-64827,WR,Miles,Miles Boykin,Boykin,4.239999898,15,4500,BAL@LV,BAL,LV,IR,Hamstring,,WR/FLEX
63499-85306,WR,KhaDarel,KhaDarel Hodge,Hodge,2.9375,8,4500,SF@DET,DET,SF,,,,WR/FLEX
63499-64828,WR,Chris,Chris Finke,Finke,0,1,4500,CLE@KC,KC,CLE,Q,Undisclosed,,WR/FLEX
63499-64835,RB,Dexter,Dexter Williams,Williams,0.400000006,2,4500,DEN@NYG,NYG,DEN,,,,RB/FLEX
63499-56648,RB,Jeremy,Jeremy McNichols,McNichols,2.393749952,16,4500,ARI@TEN,TEN,ARI,,,,RB/FLEX
63499-52553,WR,De'Mornay,De'Mornay Pierson-El,Pierson-El,,,4500,DEN@NYG,DEN,NYG,,,,WR/FLEX
63499-52560,WR,Geronimo,Geronimo Allison,Allison,0,1,4500,SF@DET,DET,SF,,,,WR/FLEX
63499-73046,WR,Tre,Tre Nixon,Nixon,,,4500,MIA@NE,NE,MIA,,,,WR/FLEX
63499-89437,WR,Tim,Tim Jones,Jones,,,4500,JAC@HOU,JAC,HOU,Q,Undisclosed,,WR/FLEX
63499-60765,WR,Brian,Brian Cole,Cole,0,1,4500,NYJ@CAR,CAR,NYJ,,,,WR/FLEX
63499-91504,WR,Blake,Blake Proehl,Proehl,,,4500,MIN@CIN,MIN,CIN,IR,Leg,,WR/FLEX
63499-52598,WR,Johnnie,Johnnie Dixon,Dixon,0,2,4500,DAL@TB,DAL,TB,,,,WR/FLEX
63499-52602,WR,DeAndre,DeAndre Thompkins,Thompkins,0,1,4500,GB@NO,GB,NO,Q,Undisclosed,,WR/FLEX
63499-56698,WR,Dante,Dante Pettis,Pettis,2.26666673,6,4500,DEN@NYG,NYG,DEN,,,,WR/FLEX
63499-71039,WR,Kelvin,Kelvin Harmon,Harmon,0,1,4500,LAC@WAS,WAS,LAC,,,,WR/FLEX
63499-64901,RB,Cameron,Cameron Scarlett,Scarlett,,,4500,SEA@IND,SEA,IND,,,,RB/FLEX
63499-93577,WR,Dazz,Dazz Newsome,Newsome,,,4500,CHI@LAR,CHI,LAR,,,,WR/FLEX
63499-64905,WR,Trenton,Trenton Irwin,Irwin,0.5,2,4500,MIN@CIN,CIN,MIN,,,,WR/FLEX
63499-64907,WR,JJ,JJ Arcega-Whiteside,Arcega-Whiteside,3.7,5,4500,PHI@ATL,PHI,ATL,,,,WR/FLEX
63499-28055,WR,Amara,Amara Darboh,Darboh,0,1,4500,DEN@NYG,DEN,NYG,,,,WR/FLEX
63499-73116,WR,Javon,Javon McKinley,McKinley,,,4500,SF@DET,DET,SF,,,,WR/FLEX
63499-64926,WR,Michael,Michael Jacquet III,Jacquet III,0,1,4500,PHI@ATL,PHI,ATL,,,,WR/FLEX
63499-73121,RB,Tony,Tony Jones Jr.,Jones Jr.,1.299999952,1,4500,GB@NO,NO,GB,,,,RB/FLEX
63499-32161,WR,Gehrig,Gehrig Dieter,Dieter,1.5,1,4500,CLE@KC,KC,CLE,,,,WR/FLEX
63499-60835,WR,Isaac,Isaac Whitney,Whitney,,,4500,ARI@TEN,ARI,TEN,,,,WR/FLEX
63499-60838,WR,Andre,Andre Baccellia,Baccellia,0,1,4500,ARI@TEN,ARI,TEN,,,,WR/FLEX
63499-62891,WR,Omar,Omar Bayless,Bayless,0,2,4500,NYJ@CAR,CAR,NYJ,,,,WR/FLEX
